,is_lem,is_stop,is_stem,is_alpha,is_lowercase,ngram_range,min_df,max_df,alpha,Accuracy_cv_train,Accuracy_cv_validation,Accuracy_tf_train,Accuracy_tf_validation
19,True,True,True,True,False,"(1, 2)",3,0.8,0.01,0.6749822978082047,0.6327982117455802,0.686011354886624,0.6346271083113189
20,True,True,True,True,False,"(1, 2)",3,0.9,0.001,0.6754846942026005,0.6322901849217639,0.68634446553943,0.6339158707579761
21,True,True,True,True,False,"(1, 2)",3,0.9,0.01,0.6749822978082047,0.6327982117455802,0.686011354886624,0.6346271083113189
22,True,True,True,True,False,"(1, 2)",3,default,0.001,0.6754846942026005,0.6322901849217639,0.68634446553943,0.6339158707579761
23,True,True,True,True,False,"(1, 2)",3,default,0.01,0.6749822978082047,0.6327982117455802,0.686011354886624,0.6346271083113189
24,True,True,True,True,False,"(1, 2)",10,0.8,0.001,0.6328938578400232,0.6277179435074172,0.6396871308251133,0.6321885795570006
25,True,True,True,True,False,"(1, 2)",10,0.8,0.01,0.6328811159024841,0.6276163381426539,0.6396507252892875,0.6321885795570006
26,True,True,True,True,False,"(1, 2)",10,0.9,0.001,0.6328938578400232,0.6277179435074172,0.6396871308251133,0.6321885795570006
27,True,True,True,True,False,"(1, 2)",10,0.9,0.01,0.6328811159024841,0.6276163381426539,0.6396507252892875,0.6321885795570006
28,True,True,True,True,False,"(1, 2)",10,default,0.001,0.6328938578400232,0.6277179435074172,0.6396871308251133,0.6321885795570006
29,True,True,True,True,False,"(1, 2)",10,default,0.01,0.6328811159024841,0.6276163381426539,0.6396507252892875,0.6321885795570006
30,True,True,True,True,False,"(1, 2)",20,0.8,0.001,0.6188813671006813,0.6190814875025401,0.6237742711156659,0.6245681771997561
31,True,True,True,True,False,"(1, 2)",20,0.8,0.01,0.6188704454399336,0.6190814875025401,0.6237415061334226,0.6246697825645194
32,True,True,True,True,False,"(1, 2)",20,0.9,0.001,0.6188813671006813,0.6190814875025401,0.6237742711156659,0.6245681771997561
33,True,True,True,True,False,"(1, 2)",20,0.9,0.01,0.6188704454399336,0.6190814875025401,0.6237415061334226,0.6246697825645194
34,True,True,True,True,False,"(1, 2)",20,default,0.001,0.6188813671006813,0.6190814875025401,0.6237742711156659,0.6245681771997561
35,True,True,True,True,False,"(1, 2)",20,default,0.01,0.6188704454399336,0.6190814875025401,0.6237415061334226,0.6246697825645194
36,True,True,True,False,True,"(1, 2)",3,0.8,0.001,0.6764184961965316,0.6332046332046332,0.687409327462334,0.6342206868522658
37,True,True,True,False,True,"(1, 2)",3,0.8,0.01,0.6758614914983972,0.6338142653932127,0.6870361707201197,0.6345255029465556
